,0
0,434.06400000000025
1,714.057
2,774.0519999999999
3,884.0439999999996
4,947.0439999999996
5,994.0429999999996
6,1091.0359999999996
7,1119.0349999999994
8,1175.0329999999994
9,1195.0349999999994
10,1250.0299999999995
11,1225.0309999999995
12,1063.0279999999993
13,1085.0259999999994
14,1136.0209999999995
15,1157.0189999999996
16,1130.0219999999995
17,1088.0269999999996
18,1059.0289999999995
19,1087.0269999999996
20,1281.0229999999997
21,1670.0189999999998
22,1649.0159999999996
23,1626.0169999999998
24,1605.0159999999998
25,1508.02
26,1496.02
27,1661.0199999999998
28,1639.0199999999998
29,1652.0169999999998
30,1455.0149999999999
31,1079.0119999999997
32,1274.011
33,1220.013
34,1220.0119999999997
35,1239.0079999999998
36,1176.009
37,969.0059999999999
38,966.004
39,932.003
40,932.003
41,958.001
42,776.001
43,750.0029999999999
44,524.006
45,529.006
46,516.007
47,503.0079999999999
48,529.006
49,555.0039999999999
50,568.004
51,763.004
52,776.0029999999999
53,776.0029999999999
54,971.0029999999999
55,971.0029999999999
56,1153.004
57,1153.004
58,1153.0049999999999
59,1348.0049999999999
60,1387.003
61,1179.004
62,1361.0049999999999
63,1374.0049999999999
64,1356.0069999999998
65,1564.0059999999999
66,1369.0059999999999
67,1382.0049999999999
68,1374.0049999999999
69,1166.0069999999998
70,1179.0059999999999
71,1179.0059999999999
72,958.0079999999998
73,958.0079999999999
74,763.0089999999999
75,607.0079999999999
76,646.007
77,646.007
78,659.0070000000001
79,646.008
80,685.007
81,698.006
82,711.005
83,724.0049999999999
84,724.0049999999999
85,724.0059999999999
86,763.0039999999999
87,737.0069999999998
88,737.0069999999998
89,1153.0049999999999
90,1166.004
91,1179.003
92,1569.003
93,1569.003
94,1738.0049999999999
95,1933.0049999999999
96,1959.003
97,2141.004
98,2128.005
99,1556.004
100,1530.0059999999999
101,1491.0089999999998
102,1322.0069999999998
103,1322.0079999999998
104,1166.0059999999999
105,945.0079999999998
106,958.0069999999998
107,776.007
108,776.007
109,802.0049999999999
110,815.005
111,828.0039999999999
112,854.002
113,841.0029999999999
114,841.0029999999999
115,841.0029999999999
116,841.0029999999999
117,841.0029999999999
118,815.0049999999999
119,1426.003
120,1439.002
121,1447.002
122,1647.001
123,1634.002
124,1816.003
125,1816.003
126,1816.003
127,1803.004
128,1816.003
129,1218.004
130,1205.0049999999999
131,1192.0059999999999
132,971.0079999999999
133,997.0059999999999
134,802.0059999999999
135,802.0059999999999
136,815.0049999999999
137,802.0059999999999
138,802.0059999999999
139,828.0039999999999
140,828.0039999999999
141,841.0029999999999
142,815.005
143,836.0039999999999
144,1036.003
145,1200.0059999999999
146,1200.0059999999999
147,1231.003
148,1244.002
149,1439.002
150,1439.002
151,1439.002
152,1439.002
153,1439.002
154,1608.004
155,1439.002
156,1452.001
157,1452.001
158,1439.002
159,1062.001
160,1062.001
161,1062.001
162,1049.002
163,1049.002
164,854.002
165,854.002
166,867.001
167,867.001
168,854.002
169,828.0039999999999
170,841.0029999999999
171,828.004
172,841.0029999999999
173,815.0049999999999
174,1036.003
175,1023.004
176,1036.003
177,1036.003
178,1036.003
179,1439.002
180,1647.001
181,1621.0030000000002
182,1660.0
183,1647.001
184,1647.001
185,1634.002
186,1660.0
187,1647.001
188,1647.001
189,1244.002
190,1036.003
191,1031.004
192,992.0069999999998
193,1413.004
194,1231.003
195,1231.003
196,1231.003
197,1231.003
198,1231.003
199,1244.002
200,1244.002
201,1239.003
